200,4x4,62.69,1.0678
200,8x8,62.69,1.026
200,16x16,62.69,0.96
200,32x32,62.69,0.9223
400,4x4,509.17,3.8417
400,8x8,509.17,3.2566
400,16x16,509.17,2.9306
400,32x32,509.17,3.4333
800,4x4,4119.39,15.0568
800,8x8,4119.39,13.9743
800,16x16,4119.39,13.1456
800,32x32,4119.39,13.2995
1200,4x4,14261,27.7046
1200,8x8,14261,28.433
1200,16x16,14261,29.4092
1200,32x32,14261,29.9047
1600,4x4,32994,46.061
1600,8x8,32994,48.3535
1600,16x16,32994,49.13
1600,32x32,32994,50.256
2000,4x4,64219.6,72.8109
2000,8x8,64219.6,77.3668
2000,16x16,64219.6,76.9811
2000,32x32,64219.6,77.2143
